X,Y,Name,description,ADDRESSBLOCKHOUSENUMBER,ADDRESSBUILDINGNAME,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,ADDRESSTYPE,DESCRIPTION2,HYPERLINK,LANDXADDRESSPOINT,LANDYADDRESSPOINT,NAME2,PHOTOURL,ADDRESSFLOORNUMBER,INC_CRC,FMEL_UPD_D,ADDRESSUNITNUMBER,Field_10,Field_11,Field_12,Field_13,Field_14,Field_15,Field_8,Field_9,Field_6,Field_7,Field_4,Field_5,Field_2,Field_3,Field_1
103.83761242449,1.37300749906274,Kebun Baru CC,Community Club,216,,569897,Ang Mo Kio Avenue 4,A,,https://www.onepa.sg/cc/kebun-baru-cc,0,0,,,,2752FB78DCB7109C,20190624164320,,,,,,,,,,,,,,,,
103.83070644581,1.28968265976033,Kim Seng CC,Community Centre,570,,169640,Havelock Road,A,,https://www.onepa.sg/cc/kim-seng-cc,0,0,,,,36C68237A473B1EA,20190624164320,,,,,,,,,,,,,,,,
103.870163153936,1.32369076746522,Kolam Ayer CC (Till 3Q 2019),Community Club,97,,330097,Geylang Bahru,A,,https://www.onepa.sg/cc/kolam-ayer-cc,0,0,,,1,F95A0F6F8FCC3C45,20190624164320,3178,,,,,,,,,,,,,,,
103.869693090627,1.32415431819916,Kolam Ayer CC (U/C),Community Club,1,,339631,Geylang Bahru Lane,A,,https://www.onepa.sg/cc/kolam-ayer-cc,0,0,,,,0E1F139BAB990B6F,20190624164320,,,,,,,,,,,,,,,,
103.843012853618,1.28119257621546,Kreta Ayer CC,Community Club,28A,,88995,Kreta Ayer Road,A,,https://www.onepa.sg/cc/kreta-ayer-cc,0,0,,,,A3B9130EC76AA81A,20190624164320,,,,,,,,,,,,,,,,
103.81444834816,1.28978711891653,Leng Kee CC,Community Club,400,,159049,Lengkok Bahru,A,,https://www.onepa.sg/cc/leng-kee-cc,0,0,,,,D82C68DCC4FDE23B,20190624164320,,,,,,,,,,,,,,,,
103.884481193415,1.3235370882948,MacPherson CC,Community Club,400,,379131,Paya Lebar Way,A,,https://www.onepa.sg/cc/macpherson-cc,0,0,,,,9455CC4AC8CC264E,20190624164320,,,,,,,,,,,,,,,,
103.846961925945,1.42553143932816,Yishun Link CC (U/C),Community Club,412/413,,760412,Yishun Ring Road,,,,0,0,,,,609E486780887A38,20190624164320,,,,,,,,,,,,,,,,
103.737065915264,1.33997285278881,Yuhua CC,Community Club,90,,609958,Boon Lay Way,A,,https://www.onepa.sg/cc/yuhua-cc,0,0,,,,6D45D9D5E8D60226,20190624164320,,,,,,,,,,,,,,,,
103.930623466344,1.3131589522001,Siglap South CC,Community Centre,6,,456441,Palm Road,A,,https://www.onepa.sg/cc/siglap-south-cc,0,0,,,,B9FC13001C213875,20190624164320,,,,,,,,,,,,,,,,
