X,Y,Name,description,ADDRESSBLOCKHOUSENUMBER,ADDRESSBUILDINGNAME,ADDRESSFLOORNUMBER,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,ADDRESSTYPE,DESCRIPTION2,HYPERLINK,LANDXADDRESSPOINT,LANDYADDRESSPOINT,NAME2,PHOTOURL,INC_CRC,FMEL_UPD_D,ADDRESSUNITNUMBER
103.958609342977,1.35642450436398,Hanis Montessori Kindergarten (Tampines),Kindergartens,,,,520374,374 Tampines Street 34 #01-42,,,,0,0,,,A4B374BAD6F772C3,20170807175647,
103.774859396837,1.42729302505392,Hanis Montessori Kindergarten (Woodlands),Kindergartens,,,,730424,424 Woodlands Street 41 #01-340,,,,0,0,,,552B3B60AD968902,20170807175647,
103.75800298563,1.34737712974629,Iman Kindergarten (Bt. Batok),Kindergartens,,,,650277,277 Bukit Batok East Avenue 3 #02-373,,,,0,0,,,BEFAF9D6537A04DC,20170807175647,
103.741798790083,1.39262692742074,Iman Kindergarten (CCK),Kindergartens,,,,680530,530 Choa Chu Kang Street 51 #01-323,,,,0,0,,,C8D34C17178EC8AF,20170807175647,
103.945169502687,1.34467549409485,Iman Kindergarten (Tampines),Kindergartens,,,,521136,136 Tampines Street 11 #01-156,,,,0,0,,,A3C814242EE911E8,20170807175647,
103.907363530901,1.33219242945349,Iman Kindergarten (Tenagaville),Kindergartens,,,,410651,651 Jalan Tenaga #01-04,,,,0,0,,,093547B68D37BB6C,20170807175647,
103.836539123649,1.42576336560117,Iman Kindergarten (Yishun),Kindergartens,,,,760934,934 Yishun Central 1 #01-57,,,,0,0,,,E89685C191A5307E,20170807175647,
103.880828728081,1.30800944842723,Iroha Kindergarten,Kindergartens,,,,397999,Block C 231 Mountbatten Road #01-01,,,,0,0,,,4A3B60830C072F4A,20170807175647,
103.878782309824,1.31037919363521,Jamiyah Kindergarten,Kindergartens,,,,399006,31 Lorong 12 Geylang Level 3,,,,0,0,,,B2871CDA497F90CE,20170807175647,
103.883566202783,1.37757028448303,Jenius Kindergarten (Hougang),Kindergartens,,,,530915,915 Hougang Street 91 #01-10,,,,0,0,,,B985526A1A0CCB07,20170807175647,
